Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,roas - Rate - day 0 - partial,roas - Rate - day 1 - partial,roas - Rate - day 2 - partial,roas - Rate - day 3 - partial,roas - Rate - day 4 - partial,roas - Rate - day 5 - partial,roas - Rate - day 6 - partial,roas - Rate - day 7 - partial,roas - Rate - day 8 - partial,roas - Rate - day 9 - partial,roas - Rate - day 10 - partial,roas - Rate - day 11 - partial,roas - Rate - day 12 - partial,roas - Rate - day 13 - partial,roas - Rate - day 14 - partial,roas - Rate - day 15 - partial,roas - Rate - day 16 - partial,roas - Rate - day 17 - partial,roas - Rate - day 18 - partial,roas - Rate - day 19 - partial,roas - Rate - day 20 - partial,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-09,115,12.34,0.11,85.77,91.75,98.45,100.04,100.79,101.84,102.14,102.16,102.16,102.16,102.31,102.45,102.45,102.45,102.49,102.59,102.61,102.65,102.69,102.73,102.82,103.22,103.23,103.23,103.31,103.75,103.75,103.75,103.75
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-10,399,37.67,0.09,45.49,54.68,58.21,61.32,64.72,66.48,67.18,68.09,68.59,68.74,68.87,68.99,69.0,69.09,69.24,69.61,70.05,71.03,71.76,71.82,71.94,72.08,72.15,72.34,72.48,72.61,72.61,72.61,72.61
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-11,514,45.35,0.09,44.43,53.49,57.47,60.88,62.81,63.95,65.88,66.96,67.88,68.74,70.05,71.66,73.09,73.82,74.86,75.43,76.14,78.12,78.59,79.54,80.49,81.53,82.66,83.99,85.0,85.0,85.0,85.0,85.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-12,521,41.41,0.08,43.96,55.92,62.41,66.46,69.25,71.27,74.32,76.73,77.76,78.63,80.86,82.06,82.94,83.55,84.25,84.73,85.21,85.66,85.93,86.22,86.58,87.0,87.61,88.05,88.05,88.05,88.05,88.05,88.05
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-13,513,42.4,0.08,45.32,51.73,55.05,58.63,59.87,61.27,61.93,62.94,63.75,64.27,65.12,65.81,66.36,66.67,67.45,68.01,68.28,68.62,69.33,70.43,71.22,71.98,72.66,72.66,72.66,72.66,72.66,72.66,72.66
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-14,495,40.74,0.08,52.39,62.57,66.97,69.89,71.66,72.91,74.61,75.49,75.84,76.49,77.11,77.65,77.97,78.52,78.91,79.32,79.77,80.07,80.5,81.48,82.26,83.49,83.49,83.49,83.49,83.49,83.49,83.49,83.49
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-15,509,45.19,0.09,44.12,52.86,58.21,61.0,62.86,64.97,67.08,69.02,70.14,71.09,71.75,72.59,73.59,74.2,75.06,75.95,76.41,77.2,77.8,79.79,81.62,81.62,81.62,81.62,81.62,81.62,81.62,81.62,81.62
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-16,580,42.56,0.07,46.31,57.36,65.39,69.89,72.14,74.97,77.21,79.32,80.55,81.68,83.11,84.47,85.84,87.27,88.1,89.09,89.96,90.99,92.01,93.22,93.22,93.22,93.22,93.22,93.22,93.22,93.22,93.22,93.22
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-17,686,57.6,0.08,47.04,54.7,58.91,62.19,64.58,66.26,68.0,69.12,70.45,71.19,71.99,73.03,73.59,74.11,74.52,74.84,75.37,75.97,76.73,76.73,76.73,76.73,76.73,76.73,76.73,76.73,76.73,76.73,76.73
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-18,718,57.07,0.08,45.21,52.02,55.78,57.77,59.74,62.94,65.31,66.52,67.76,69.03,70.25,71.09,72.09,72.98,73.94,75.51,76.6,78.01,78.01,78.01,78.01,78.01,78.01,78.01,78.01,78.01,78.01,78.01,78.01
