Media Source,Campaign,Campaign Id,Cohort Day,Users,retention,Cost,Average eCPI,sessions - Unique users - day 1,sessions - Unique users - day 2,sessions - Unique users - day 3,sessions - Unique users - day 4,sessions - Unique users - day 5,sessions - Unique users - day 6,sessions - Unique users - day 7,sessions - Unique users - day 8,sessions - Unique users - day 9,sessions - Unique users - day 10,sessions - Unique users - day 11,sessions - Unique users - day 12,sessions - Unique users - day 13,sessions - Unique users - day 14,sessions - Unique users - day 15,sessions - Unique users - day 16,sessions - Unique users - day 17,sessions - Unique users - day 18,sessions - Unique users - day 19,sessions - Unique users - day 20,sessions - Unique users - day 21 - partial,sessions - Unique users - day 22 - partial,sessions - Unique users - day 23 - partial,sessions - Unique users - day 24 - partial,sessions - Unique users - day 25 - partial,sessions - Unique users - day 26 - partial,sessions - Unique users - day 27 - partial,sessions - Unique users - day 28 - partial,retention2
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-13,1268,3360.0,101.47,0.08,426,247,174,146,127,112,83,72,72,73,74,70,64,61,53,50,50,44,41,42,47,44,42,0,0,0,0,0,426(33.6%)
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-14,1090,4046.0,101.66,0.09,441,238,180,153,118,112,93,87,77,71,66,65,61,54,62,55,50,48,46,45,43,41,0,0,0,0,0,0,441(40.46%)
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-15,1182,4222.0,97.94,0.08,499,268,210,172,144,119,110,106,92,92,87,89,87,78,71,70,69,67,63,66,61,0,0,0,0,0,0,0,499(42.22%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-08,276,3586.9999999999995,48.4,0.18,99,53,41,34,31,29,22,18,19,16,14,16,12,12,11,13,15,12,12,11,12,8,11,11,9,9,9,9,99(35.87%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-09,173,3815.0,29.78,0.17,66,39,24,19,16,12,14,11,12,11,9,6,10,8,8,6,9,10,7,7,6,8,7,8,7,9,4,0,66(38.15%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-10,114,3158.0,17.86,0.16,36,17,15,13,10,9,6,8,5,5,2,3,5,5,6,6,3,5,5,4,7,5,6,7,5,3,0,0,36(31.58%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-11,7,4286.0,0.0,0.0,3,3,3,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,3(42.86%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-12,4,5000.0,,,2,1,1,1,2,1,2,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2(50.0%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-13,1,10000.0,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1(100.0%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131,2.3853612916580404e+16,2023-02-14,1,0.0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0(0.0%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-08,396,3939.0,45.45,0.11,156,96,71,58,55,51,50,51,47,40,37,32,36,33,35,31,27,33,35,32,28,26,25,25,23,23,24,23,156(39.39%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-09,620,3774.0,65.77,0.11,234,147,130,111,100,86,80,78,72,70,67,64,63,57,44,48,51,43,38,42,40,36,42,35,38,35,29,0,234(37.74%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-10,640,3515.9999999999995,66.68,0.1,225,149,105,89,80,67,63,57,50,50,52,46,40,41,36,40,36,34,31,31,26,28,24,28,30,24,0,0,225(35.16%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-11,662,3656.0,67.08,0.1,242,149,112,98,88,69,69,55,43,46,51,40,45,45,38,41,37,35,39,37,41,37,37,34,27,0,0,0,242(36.56%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-12,647,3802.0000000000005,71.76,0.11,246,155,122,108,100,81,73,72,71,67,64,67,58,54,51,49,52,48,49,46,47,42,42,38,0,0,0,0,246(38.02%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-13,788,3820.0000000000005,70.18,0.09,301,187,138,117,107,99,78,83,78,76,67,74,66,70,61,60,56,53,56,58,52,54,40,0,0,0,0,0,301(38.2%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-14,508,3681.0,43.41,0.09,187,130,103,93,70,65,62,54,54,52,45,47,42,42,39,38,42,37,38,36,39,36,0,0,0,0,0,0,187(36.81%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-15,336,4018.0,28.32,0.08,135,76,63,58,50,40,44,40,41,38,34,36,35,31,29,27,24,27,28,27,25,0,0,0,0,0,0,0,135(40.18%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-10,107,5981.0,12.07,0.11,64,31,28,20,16,16,14,12,11,10,11,12,12,11,10,9,8,7,9,9,11,7,7,8,7,8,0,0,64(59.81%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-11,352,3778.0,28.42,0.08,133,86,64,60,56,52,53,47,46,39,39,39,38,40,37,34,34,35,35,33,30,33,34,32,31,0,0,0,133(37.78%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-12,367,4169.0,30.84,0.08,153,97,76,68,67,54,49,55,48,45,50,43,45,41,41,41,42,41,39,39,39,33,37,29,0,0,0,0,153(41.69%)
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-13,329,3982.0,30.44,0.09,131,96,71,64,60,51,47,42,36,38,35,30,28,31,31,28,26,30,26,26,24,24,22,0,0,0,0,0,131(39.82%)
