Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,revenue - sum - day 0 - partial,revenue - sum - day 1 - partial,revenue - sum - day 2 - partial,revenue - sum - day 3 - partial,revenue - sum - day 4 - partial,revenue - sum - day 5 - partial,revenue - sum - day 6 - partial,revenue - sum - day 7 - partial,revenue - sum - day 8 - partial,revenue - sum - day 9 - partial,revenue - sum - day 10 - partial,revenue - sum - day 11 - partial,revenue - sum - day 12 - partial,revenue - sum - day 13 - partial,revenue - sum - day 14 - partial,revenue - sum - day 15 - partial,revenue - sum - day 16 - partial,revenue - sum - day 17 - partial,revenue - sum - day 18 - partial,revenue - sum - day 19 - partial,revenue - sum - day 20 - partial,revenue - sum - day 21 - partial,revenue - sum - day 22 - partial,revenue - sum - day 23 - partial,revenue - sum - day 24 - partial,revenue - sum - day 25 - partial,revenue - sum - day 26 - partial,revenue - sum - day 27 - partial,revenue - sum - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-09,115,12.34,0.11,10.58,11.32,12.15,12.35,12.44,12.57,12.6,12.61,12.61,12.61,12.63,12.64,12.64,12.64,12.65,12.66,12.66,12.67,12.67,12.68,12.69,12.74,12.74,12.74,12.75,12.8,12.8,12.8,12.8
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-10,399,37.67,0.09,17.14,20.6,21.93,23.1,24.38,25.04,25.31,25.65,25.84,25.89,25.94,25.99,25.99,26.03,26.08,26.22,26.39,26.76,27.03,27.05,27.1,27.15,27.18,27.25,27.3,27.35,27.35,27.35,27.35
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-11,514,45.35,0.09,20.15,24.26,26.06,27.61,28.48,29.0,29.88,30.37,30.79,31.18,31.77,32.5,33.15,33.48,33.95,34.21,34.53,35.43,35.64,36.07,36.5,36.98,37.49,38.09,38.55,38.55,38.55,38.55,38.55
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-12,521,41.41,0.08,18.2,23.16,25.85,27.52,28.68,29.51,30.78,31.78,32.2,32.56,33.48,33.98,34.34,34.6,34.89,35.09,35.29,35.47,35.58,35.7,35.85,36.03,36.28,36.46,36.46,36.46,36.46,36.46,36.46
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-13,513,42.4,0.08,19.22,21.93,23.34,24.86,25.39,25.98,26.26,26.69,27.03,27.25,27.61,27.9,28.13,28.27,28.6,28.83,28.95,29.09,29.4,29.86,30.2,30.52,30.81,30.81,30.81,30.81,30.81,30.81,30.81
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-14,495,40.74,0.08,21.34,25.49,27.28,28.47,29.2,29.7,30.4,30.75,30.9,31.16,31.41,31.64,31.77,31.99,32.15,32.32,32.5,32.62,32.8,33.2,33.51,34.01,34.01,34.01,34.01,34.01,34.01,34.01,34.01
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-15,509,45.19,0.09,19.94,23.89,26.3,27.57,28.4,29.36,30.31,31.19,31.7,32.13,32.42,32.8,33.25,33.53,33.92,34.32,34.53,34.89,35.16,36.06,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88,36.88
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-16,580,42.56,0.07,19.71,24.41,27.83,29.74,30.7,31.91,32.86,33.76,34.28,34.76,35.37,35.95,36.53,37.14,37.49,37.92,38.29,38.72,39.16,39.67,39.67,39.67,39.67,39.67,39.67,39.67,39.67,39.67,39.67
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-17,686,57.6,0.08,27.09,31.51,33.93,35.82,37.2,38.16,39.17,39.81,40.58,41.0,41.47,42.06,42.39,42.69,42.92,43.11,43.41,43.76,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2,44.2
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-18,718,57.07,0.08,25.8,29.69,31.83,32.97,34.1,35.92,37.27,37.97,38.67,39.39,40.09,40.57,41.14,41.65,42.2,43.09,43.72,44.52,44.52,44.52,44.52,44.52,44.52,44.52,44.52,44.52,44.52,44.52,44.52
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-19,650,52.02,0.08,20.58,25.86,28.5,30.85,33.64,35.17,36.25,37.22,38.3,39.11,40.01,40.8,41.37,41.95,42.68,43.34,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45,44.45
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-20,661,53.39,0.08,20.96,25.07,27.54,29.98,31.28,32.07,32.93,33.62,34.25,34.69,35.32,35.64,36.12,36.92,37.68,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38,38.38
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-21,742,50.97,0.07,23.93,29.05,32.65,34.61,35.85,37.15,38.24,39.77,40.54,41.1,41.73,42.21,43.0,43.69,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.28,44.28
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-22,654,49.18,0.08,21.13,26.63,29.59,31.73,33.55,35.45,37.41,38.24,38.87,39.89,40.48,41.37,42.24,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03,43.03
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-23,667,44.66,0.07,23.01,27.24,29.54,30.92,32.38,33.4,34.18,34.86,35.85,36.94,38.07,39.07,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11,40.11
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-24,719,48.35,0.07,28.83,36.11,39.91,42.47,44.03,45.07,46.25,47.61,48.89,50.31,51.87,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05,53.05
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-25,720,51.43,0.07,27.58,33.32,37.94,40.29,41.24,42.12,43.07,44.11,45.5,46.95,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01,48.01
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-26,741,52.08,0.07,27.73,35.92,39.11,41.48,43.93,45.38,46.8,49.37,50.96,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52,52.52
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-27,756,52.6,0.07,26.55,32.54,35.34,38.23,40.25,42.18,45.03,47.21,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96,48.96
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-28,755,50.55,0.07,28.44,34.97,38.63,42.51,45.34,47.95,50.17,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-01,755,49.65,0.07,23.21,29.65,34.21,37.44,39.92,42.23,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-02,789,48.24,0.06,25.36,31.62,36.07,39.45,42.11,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57,44.57
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-03,713,47.22,0.07,28.08,36.76,43.3,48.27,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28,52.28
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-04,733,49.65,0.07,21.76,30.76,36.3,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4,40.4
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-05,801,51.93,0.06,21.73,28.08,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45,32.45
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-06,745,52.7,0.07,21.19,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-07,717,46.01,0.06,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-08,594,42.95,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-03-09,537,32.19,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-09,749,81.62,0.11,32.41,44.0,52.31,56.53,58.82,61.51,63.62,65.24,67.65,69.46,70.47,71.43,72.2,72.7,73.64,74.52,75.17,76.12,76.71,77.12,77.49,77.72,78.16,78.58,79.05,79.88,80.9,80.9,80.9
Facebook Ads,$facebook_int$AND$MX$MAItangjie0131,2.3853623620360404e+16,2023-02-10,1199,106.58,0.09,48.68,57.57,62.23,65.71,69.09,72.56,74.37,75.68,77.04,77.76,78.5,79.15,79.64,80.27,81.09,82.37,83.14,83.68,84.29,85.03,85.68,86.23,87.22,88.0,88.79,89.87,89.87,89.87,89.87
