Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,retention day1 ,retention day1 percent,roas - Rate - day 0 - partial,roas - Rate - day 1 - partial,roas - Rate - day 2 - partial,roas - Rate - day 3 - partial,roas - Rate - day 4 - partial,roas - Rate - day 5 - partial,roas - Rate - day 6 - partial,roas - Rate - day 7 - partial,roas - Rate - day 8 - partial,roas - Rate - day 9 - partial,roas - Rate - day 10 - partial,roas - Rate - day 11 - partial,roas - Rate - day 12 - partial,roas - Rate - day 13 - partial,roas - Rate - day 14 - partial,roas - Rate - day 15 - partial,roas - Rate - day 16 - partial,roas - Rate - day 17 - partial,roas - Rate - day 18 - partial,roas - Rate - day 19 - partial,roas - Rate - day 20 - partial,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial,revenue - sum - day 0 - partial,revenue - sum - day 1 - partial,revenue - sum - day 2 - partial,revenue - sum - day 3 - partial,revenue - sum - day 4 - partial,revenue - sum - day 5 - partial,revenue - sum - day 6 - partial,revenue - sum - day 7 - partial,revenue - sum - day 8 - partial,revenue - sum - day 9 - partial,revenue - sum - day 10 - partial,revenue - sum - day 11 - partial,revenue - sum - day 12 - partial,revenue - sum - day 13 - partial,revenue - sum - day 14 - partial,revenue - sum - day 15 - partial,revenue - sum - day 16 - partial,revenue - sum - day 17 - partial,revenue - sum - day 18 - partial,revenue - sum - day 19 - partial,revenue - sum - day 20 - partial,revenue - sum - day 21 - partial,revenue - sum - day 22 - partial,revenue - sum - day 23 - partial,revenue - sum - day 24 - partial,revenue - sum - day 25 - partial,revenue - sum - day 26 - partial,revenue - sum - day 27 - partial,revenue - sum - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-16,3,,,2,66.67%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-17,3,,,1,33.33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-18,1,,,0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-19,1,,,1,100.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.05,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy 3,2.3853733866640404e+16,2023-02-20,2,,,1,50.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-09,115,12.34,0.11,37,32.17%,85.77,91.75,98.45,100.04,100.79,101.84,102.14,102.16,102.16,102.16,102.31,102.45,102.45,102.45,102.49,102.59,102.61,102.65,102.69,102.73,102.82,103.22,103.23,103.23,103.31,103.75,103.75,103.75,103.75,10.58,11.32,12.15,12.35,12.44,12.57,12.6,12.61,12.61,12.61,12.63,12.64,12.64,12.64,12.65,12.66,12.66,12.67,12.67,12.68,12.69,12.74,12.74,12.74,12.75,12.8,12.8,12.8,12.8
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-10,399,37.67,0.09,112,28.07%,45.49,54.68,58.21,61.32,64.72,66.48,67.18,68.09,68.59,68.74,68.87,68.99,69.0,69.09,69.24,69.61,70.05,71.03,71.76,71.82,71.94,72.08,72.15,72.34,72.48,72.61,72.61,72.61,72.61,17.14,20.6,21.93,23.1,24.38,25.04,25.31,25.65,25.84,25.89,25.94,25.99,25.99,26.03,26.08,26.22,26.39,26.76,27.03,27.05,27.1,27.15,27.18,27.25,27.3,27.35,27.35,27.35,27.35
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-11,514,45.35,0.09,159,30.93%,44.43,53.49,57.47,60.88,62.81,63.95,65.88,66.96,67.88,68.74,70.05,71.66,73.09,73.82,74.86,75.43,76.14,78.12,78.59,79.54,80.49,81.53,82.66,83.99,85.0,85.0,85.0,85.0,85.0,20.15,24.26,26.06,27.61,28.48,29.0,29.88,30.37,30.79,31.18,31.77,32.5,33.15,33.48,33.95,34.21,34.53,35.43,35.64,36.07,36.5,36.98,37.49,38.09,38.55,38.55,38.55,38.55,38.55
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-12,521,41.41,0.08,156,29.94%,43.96,55.92,62.41,66.46,69.25,71.27,74.32,76.73,77.76,78.63,80.86,82.06,82.94,83.55,84.25,84.73,85.21,85.66,85.93,86.22,86.58,87.0,87.61,88.05,88.05,88.05,88.05,88.05,88.05,18.2,23.16,25.85,27.52,28.68,29.51,30.78,31.78,32.2,32.56,33.48,33.98,34.34,34.6,34.89,35.09,35.29,35.47,35.58,35.7,35.85,36.03,36.28,36.46,36.46,36.46,36.46,36.46,36.46
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-13,513,42.4,0.08,152,29.63%,45.32,51.73,55.05,58.63,59.87,61.27,61.93,62.94,63.75,64.27,65.12,65.81,66.36,66.67,67.45,68.01,68.28,68.62,69.33,70.43,71.22,71.98,72.66,72.66,72.66,72.66,72.66,72.66,72.66,19.22,21.93,23.34,24.86,25.39,25.98,26.26,26.69,27.03,27.25,27.61,27.9,28.13,28.27,28.6,28.83,28.95,29.09,29.4,29.86,30.2,30.52,30.81,30.81,30.81,30.81,30.81,30.81,30.81
