Media Source,Campaign,Campaign Id,Cohort Day,Users,Cost,Average eCPI,new_column,roas - Rate - day 0,roas - Rate - day 1,roas - Rate - day 2,roas - Rate - day 3,roas - Rate - day 4,roas - Rate - day 5,roas - Rate - day 6,roas - Rate - day 7,roas - Rate - day 8,roas - Rate - day 9,roas - Rate - day 10,roas - Rate - day 11,roas - Rate - day 12,roas - Rate - day 13,roas - Rate - day 14,roas - Rate - day 15,roas - Rate - day 16,roas - Rate - day 17,roas - Rate - day 18,roas - Rate - day 19,roas - Rate - day 20,roas - Rate - day 21 - partial,roas - Rate - day 22 - partial,roas - Rate - day 23 - partial,roas - Rate - day 24 - partial,roas - Rate - day 25 - partial,roas - Rate - day 26 - partial,roas - Rate - day 27 - partial,roas - Rate - day 28 - partial
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-13,513,42.4,0.08,75,45.32,51.73,55.05,58.63,59.87,61.27,61.93,62.94,63.75,64.27,65.12,65.81,66.36,66.67,67.45,68.01,68.28,68.62,69.33,70.43,71.22,71.98,71.98,71.98,71.98,71.98,71.98,71.98,71.98
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-15,509,45.19,0.09,84,44.12,52.86,58.21,61.0,62.86,64.97,67.08,69.02,70.14,71.09,71.75,72.59,73.59,74.2,75.06,75.95,76.41,77.2,77.8,79.79,79.79,79.79,79.79,79.79,79.79,79.79,79.79,79.79,79.79
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy,2.3853682073710404e+16,2023-02-14,508,43.41,0.09,130,29.56,40.33,45.34,48.43,52.64,54.6,57.4,59.12,60.56,62.08,63.58,64.82,66.17,67.08,68.12,69.92,70.72,71.95,72.79,73.63,74.32,74.32,74.32,74.32,74.32,74.32,74.32,74.32,74.32
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131 – Copy2,2.3853718851330404e+16,2023-02-14,495,40.74,0.08,72,52.39,62.57,66.97,69.89,71.66,72.91,74.61,75.49,75.84,76.49,77.11,77.65,77.97,78.52,78.91,79.32,79.77,80.07,80.5,81.48,82.26,82.26,82.26,82.26,82.26,82.26,82.26,82.26,82.26
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-15,475,38.09,0.08,117,36.35,45.91,50.47,52.57,54.75,56.45,58.19,59.77,61.96,63.76,65.64,67.31,69.02,70.4,71.63,72.68,73.99,74.9,75.97,76.79,76.79,76.79,76.79,76.79,76.79,76.79,76.79,76.79,76.79
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-09,468,67.66,0.14,159,37.22,50.1,56.25,60.38,64.76,67.71,69.69,71.55,73.5,75.23,76.74,79.18,80.21,81.54,82.72,83.57,84.48,85.33,86.08,86.59,87.03,87.96,88.42,89.02,90.23,91.26,91.26,91.26,91.26
Facebook Ads,youdaozhixuan_Liveme_FB_mess cleaner_MX_03_aaa_page002_ys_0210_ON,2.385364476187077e+16,2023-02-11,468,57.64,0.12,62,32.17,38.54,41.81,44.15,45.29,46.28,47.08,47.69,48.02,48.21,48.51,48.55,49.07,49.4,49.63,50.17,50.41,50.7,50.84,50.93,51.04,51.09,51.3,51.75,51.75,51.75,51.75,51.75,51.75
Facebook Ads,$facebook_int$AND$PH$MAItangjie0131 – Copy 2代,2.3853735007790404e+16,2023-02-14,461,34.44,0.07,122,42.54,56.45,64.23,69.19,71.54,73.25,74.52,75.87,77.26,79.21,81.32,82.91,84.32,86.0,87.53,88.69,89.92,91.31,92.08,93.06,94.24,94.24,94.24,94.24,94.24,94.24,94.24,94.24,94.24
Facebook Ads,$facebook_int$AND$BR$MAItangjie0131,2.3853613270300404e+16,2023-02-08,439,69.37,0.16,165,28.68,39.82,44.4,48.39,51.37,53.99,56.03,57.87,59.14,60.73,61.73,62.67,63.52,64.39,64.85,65.44,65.75,66.12,66.58,67.01,67.37,67.7,68.03,68.39,68.88,69.74,70.48,70.48,70.48
Facebook Ads,youdaozhixuan_Liveme_FB_mess cleaner_MX_03_aaa_page002_ys_0210_ON,2.385364476187077e+16,2023-02-13,438,50.44,0.12,57,25.96,33.15,37.58,39.68,41.48,42.61,43.59,43.94,44.68,45.22,45.74,46.17,46.52,46.76,47.14,47.5,47.81,48.06,48.38,48.82,49.23,49.66,49.66,49.66,49.66,49.66,49.66,49.66,49.66
